DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGEO;PERIODO_AGRICOLA;CULTIVO;SUPERFICIE_VERDE;SIEMBRA;COSECHA;RENDIMIENTO;PRODUCCION;PRECIO_CHACRA;SUPERFICIE_PERDIDA;VALOR_PRODUCCION;FECHA_CORTE
CUSCO;ANTA;ANCAHUASI;080302;2020;ALFALFA;190.470588235294;147;147;81972.789;12050;0.19;NULL;2289.5;20230810
CUSCO;ANTA;ANCAHUASI;080302;2020;ARVEJA GRANO SECO;20.7;23;23;2000;46;2.5;NULL;115;20230810
CUSCO;ANTA;ANCAHUASI;080302;2020;ARVEJA GRANO VERDE;29.6363636363636;40;31;6000;186;1.79;NULL;332.94;20230810
CUSCO;ANTA;ANCAHUASI;080302;2020;AVENA GRANO;85.2222222222222;98;98;2000;196;1.745;NULL;342.02;20230810
CUSCO;ANTA;ANCAHUASI;080302;2020;CEBADA  FORRAJERA;8.11764705882353;35;32;19875;636;0.182;NULL;115.752;20230810
CUSCO;ANTA;ANCAHUASI;080302;2020;CEBADA GRANO;175.909090909091;205;205;2487.804;510;1.394;NULL;710.94;20230810
CUSCO;ANTA;ANCAHUASI;080302;2020;CEBOLLA;6.47058823529412;26;19;12026.315;228.5;1.553;NULL;354.8605;20230810
CUSCO;ANTA;ANCAHUASI;080302;2020;CHOCHO O TARHUI GRANO SECO;77.1428571428571;78;78;897.435;70;5.5;NULL;385;20230810
CUSCO;ANTA;ANCAHUASI;080302;2020;HABA GRANO SECO;261.153846153846;320;320;2000;640;2;NULL;1280;20230810
CUSCO;ANTA;ANCAHUASI;080302;2020;HABA GRANO VERDE;45.3846153846154;19;86;6005.813;516.5;2.077;NULL;1072.7705;20230810
CUSCO;ANTA;ANCAHUASI;080302;2020;MAIZ AMILACEO;1087.85714285714;1050;1050;2000;2100;2.5;NULL;5250;20230810
CUSCO;ANTA;ANCAHUASI;080302;2020;OCA;37.8333333333333;43;43;8767.441;377;1.264;NULL;476.528;20230810
CUSCO;ANTA;ANCAHUASI;080302;2020;OLLUCO;70.7857142857143;93;93;8935.483;831;1.518;NULL;1261.458;20230810
CUSCO;ANTA;ANCAHUASI;080302;2020;PAPA (agrupa mejoradas y nativas);286.666666666667;465;465;16000;7440;0.92;NULL;6844.8;20230810
CUSCO;ANTA;ANCAHUASI;080302;2020;QUINUA;63.5;90;90;2000;180;5.5;NULL;990;20230810
CUSCO;ANTA;ANCAHUASI;080302;2020;RYE GRASS;10;NULL;10;62500;625;0.184;NULL;115;20230810
CUSCO;ANTA;ANCAHUASI;080302;2020;TRIGO BLANDO;197.916666666667;235;235;2000;470;1.391;NULL;653.77;20230810
CUSCO;ANTA;ANCAHUASI;080302;2020;ZANAHORIA;46.7058823529412;148;143;12104.895;1731;1.26;NULL;2181.06;20230810
CUSCO;ANTA;ANTA;080301;2020;ALCACHOFA;415.764705882353;260;NULL;NULL;1961.5;1.355;515;2657.8325;20230810
CUSCO;ANTA;ANTA;080301;2020;ALFALFA;492.058823529412;305;290;73862.068;21420;0.207;NULL;4433.94;20230810
CUSCO;ANTA;ANTA;080301;2020;ARVEJA GRANO SECO;25.3636363636364;28;28;2000;56;2;NULL;112;20230810
CUSCO;ANTA;ANTA;080301;2020;ARVEJA GRANO VERDE;29.0769230769231;52;52;5586.538;290.5;1.841;NULL;534.8105;20230810
CUSCO;ANTA;ANTA;080301;2020;AVENA GRANO;220;325;325;2000;650;2;NULL;1300;20230810
